"Observation station","Year","Month","Day","Time [UTC]","Diffuse radiation mean [W/m2]"
"Sodankylä Tähtelä","2018","1","1","00:00","-0.5"
"Sodankylä Tähtelä","2018","1","1","00:10","-0.9"
"Sodankylä Tähtelä","2018","1","1","00:20","-1.5"
"Sodankylä Tähtelä","2018","1","1","00:30","-0.9"
"Sodankylä Tähtelä","2018","1","1","00:40","-0.9"
"Sodankylä Tähtelä","2018","1","1","00:50","-1.1"
"Sodankylä Tähtelä","2018","1","1","01:00","-0.9"
"Sodankylä Tähtelä","2018","1","1","01:10","-0.7"
"Sodankylä Tähtelä","2018","1","1","01:20","-1"
"Sodankylä Tähtelä","2018","1","1","01:30","-1.1"
"Sodankylä Tähtelä","2018","1","1","01:40","-1.2"
"Sodankylä Tähtelä","2018","1","1","01:50","-1.2"
"Sodankylä Tähtelä","2018","1","1","02:00","-0.7"
"Sodankylä Tähtelä","2018","1","1","02:10","-0.7"
"Sodankylä Tähtelä","2018","1","1","02:20","-1.3"
"Sodankylä Tähtelä","2018","1","1","02:30","-1"
"Sodankylä Tähtelä","2018","1","1","02:40","-0.8"
"Sodankylä Tähtelä","2018","1","1","02:50","-1"
"Sodankylä Tähtelä","2018","1","1","03:00","-1.1"
"Sodankylä Tähtelä","2018","1","1","03:10","-1.1"
"Sodankylä Tähtelä","2018","1","1","03:20","-0.9"
"Sodankylä Tähtelä","2018","1","1","03:30","-1.1"
"Sodankylä Tähtelä","2018","1","1","03:40","-1.2"
"Sodankylä Tähtelä","2018","1","1","03:50","-1"
"Sodankylä Tähtelä","2018","1","1","04:00","-1.2"
"Sodankylä Tähtelä","2018","1","1","04:10","-1.3"
"Sodankylä Tähtelä","2018","1","1","04:20","-0.8"
"Sodankylä Tähtelä","2018","1","1","04:30","-0.9"
"Sodankylä Tähtelä","2018","1","1","04:40","-1"
"Sodankylä Tähtelä","2018","1","1","04:50","-0.9"
"Sodankylä Tähtelä","2018","1","1","05:00","-1.2"
"Sodankylä Tähtelä","2018","1","1","05:10","-1.5"
"Sodankylä Tähtelä","2018","1","1","05:20","-0.8"
"Sodankylä Tähtelä","2018","1","1","05:30","-0.9"
"Sodankylä Tähtelä","2018","1","1","05:40","-1"
"Sodankylä Tähtelä","2018","1","1","05:50","-0.6"
"Sodankylä Tähtelä","2018","1","1","06:00","-0.9"
"Sodankylä Tähtelä","2018","1","1","06:10","-0.7"
"Sodankylä Tähtelä","2018","1","1","06:20","-1.1"
"Sodankylä Tähtelä","2018","1","1","06:30","-0.8"
"Sodankylä Tähtelä","2018","1","1","06:40","-0.6"
"Sodankylä Tähtelä","2018","1","1","06:50","-0.9"
"Sodankylä Tähtelä","2018","1","1","07:00","-1"
"Sodankylä Tähtelä","2018","1","1","07:10","-1.3"
"Sodankylä Tähtelä","2018","1","1","07:20","-0.8"
"Sodankylä Tähtelä","2018","1","1","07:30","-0.8"
"Sodankylä Tähtelä","2018","1","1","07:40","-0.7"
"Sodankylä Tähtelä","2018","1","1","07:50","-0.7"
"Sodankylä Tähtelä","2018","1","1","08:00","-0.4"
"Sodankylä Tähtelä","2018","1","1","08:10","0"
"Sodankylä Tähtelä","2018","1","1","08:20","-0.4"
"Sodankylä Tähtelä","2018","1","1","08:30","-0.1"
"Sodankylä Tähtelä","2018","1","1","08:40","0.3"
"Sodankylä Tähtelä","2018","1","1","08:50","0.1"
"Sodankylä Tähtelä","2018","1","1","09:00","0.8"
"Sodankylä Tähtelä","2018","1","1","09:10","1.5"
"Sodankylä Tähtelä","2018","1","1","09:20","2.3"
"Sodankylä Tähtelä","2018","1","1","09:30","2.2"
"Sodankylä Tähtelä","2018","1","1","09:40","2.2"
"Sodankylä Tähtelä","2018","1","1","09:50","2.4"
"Sodankylä Tähtelä","2018","1","1","10:00","3.4"
"Sodankylä Tähtelä","2018","1","1","10:10","3.1"
"Sodankylä Tähtelä","2018","1","1","10:20","2.3"
"Sodankylä Tähtelä","2018","1","1","10:30","1.8"
"Sodankylä Tähtelä","2018","1","1","10:40","1.3"
"Sodankylä Tähtelä","2018","1","1","10:50","0.6"
"Sodankylä Tähtelä","2018","1","1","11:00","0.4"
"Sodankylä Tähtelä","2018","1","1","11:10","0.3"
"Sodankylä Tähtelä","2018","1","1","11:20","0.5"
"Sodankylä Tähtelä","2018","1","1","11:30","0.4"
"Sodankylä Tähtelä","2018","1","1","11:40","0.4"
"Sodankylä Tähtelä","2018","1","1","11:50","0.6"
"Sodankylä Tähtelä","2018","1","1","12:00","0"
"Sodankylä Tähtelä","2018","1","1","12:10","-0.2"
"Sodankylä Tähtelä","2018","1","1","12:20","-0.7"
"Sodankylä Tähtelä","2018","1","1","12:30","-0.7"
"Sodankylä Tähtelä","2018","1","1","12:40","-0.7"
"Sodankylä Tähtelä","2018","1","1","12:50","-0.6"
"Sodankylä Tähtelä","2018","1","1","13:00","-0.6"
"Sodankylä Tähtelä","2018","1","1","13:10","-0.7"
"Sodankylä Tähtelä","2018","1","1","13:20","-0.6"
"Sodankylä Tähtelä","2018","1","1","13:30","-0.9"
"Sodankylä Tähtelä","2018","1","1","13:40","-0.9"
